word,antonym
the,not the
of,after
and,but not
to,from
a,both
in,outside
for,away from
is,is not
on,off
that,any
by,main
this,that
with,without
i,you
you,me
it,person
not,definitely
or,nor
be,depart
are,are not
from,until
at,from
as,before
your,my
all,none
have,be bereft of
new,old
more,less
an,both
was,was not
we,all of you
will,unwillingness
home,office
can,groyne
us,them
about,nowhere
if,unless
page,inside
my,your
has,lacks
search,conceal
free,expensive
but,and
our,their
one,combined
other,similar
do,idle
no,some
information,mystery
time,future
they,he
site,unemployment
he,female
up,down
may,will
what,nothing
which,this
their,her
news,concealment
out,in
use,disuse
any,none
there,absent
see,disregard
only,multiple
so,not
his,yours
when,at a different time to when
contact,separation
here,absent
business,avocation
who,what
web,ease
also,no
now,eventually
help,harm
get,give
pm,springtime
view,blindness
online,offline
c,C/A
e,E2
first,final
am,a.m.
been,departed
would,wouldn't
how,ingredient
were,was not
me,you
s,SaaS
services,manufacturing
some,all
these,the second
click,bomb
its,yours
like,dislike
service,hurt
x,Xanadu
than,thana
find,misplace
date,enemy
back,front
top,bottom
people,animals
had,surrendered
list,disorganisation
name,notoriety
just,unjust
over,ongoing
state,unclaimed land
year,decade
day,night
into,out from
email,number
two,individual
health,illness
n,n00b
world,animals
re,despite
next,previous
used,new
go,wait
b,BA
work,unemployment
last,first
most,least
products,capital
music,silence
buy,sell
data,disinformation
make,destroy
them,me
should,should not
product,process
system,cog
post,retirement
her,me
city,country
t,tab
add,subtract
policy,disorganisation
number,letter
such,different
please,displease
available,unavailable
copyright,refusal
support,branch
message,heedlessness
after,before
